report_date,station_name,instruments_mk_3,instruments_mk_4,instruments_imdgps,instruments_fgps,instruments_others,balloons_pr875,balloons_chinese,balloons_others,thread,batteries,targets,chemicals_caustic_soda,chemicals_ferro_silicon
2026-09-09,AGARTALA,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-09,AHMEDABAD,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-09,AMINIDIVI,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-09,BANGALORE,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-09,BHUBANESWAR,0,0,0,0,1060,0,0,241,0,0,0,0,0
2026-09-09,BHUJ,0,0,0,0,688,0,0,551,0,0,0,0,0
2026-09-09,CHENNAI,0,0,0,0,1023,0,0,75,49,0,0,0,0
2026-09-09,CHIKALTHANA,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-09,DEHRADUN,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-09,DELHI,0,0,749,0,0,104,0,0,0,260,0,550,330
2026-09-09,DIMAPUR,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-09,GADAG,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-09,GANGTOK,0,0,0,0,608,0,0,69,0,0,0,0,0
2026-09-09,GOA,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-09,GOPALPUR,0,0,0,0,701,0,0,114,0,0,0,0,0
2026-09-09,GORAKHPUR,0,0,0,0,608,0,196,26,0,0,0,0,0
2026-09-09,HYDERABAD,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-09,JAGDALPUR,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-09,JALPAIGURI,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-09,JAMMU,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-09-09,JHARSIGUDA,0,0,0,0,626,0,0,172,0,0,0,0,0
2026-09-09,JODHPUR,0,0,0,0,645,0,0,204,0,0,0,0,0
2026-09-09,KARAIKAL,0,0,0,0,0,0,0,0,0,0,0,0,0
