station_name,wmo_id,igra_id,igra_name,latitude,longitude,elevation_m,in_network_roster
AGARTALA,42724,INM00042724,AGARTALA,23.8833,91.25,16.0,true
AHMEDABAD,42647,INM00042647,AHMADABAD,23.0667,72.6333,55.0,true
AMINIDIVI,43311,INM00043311,AMINIDIVI,11.1167,72.7333,2.7,true
BANGALORE,43295,INM00043295,BENGALURU,12.9667,77.5833,916.6,true
BANKURA,42706,INM00042706,BANKURA,23.3833,87.0833,100.0,true
BHOPAL,42667,INM00042667,BHOPAL/BAIRAGHAR,23.2833,77.35,522.0,true
BHUBANESWAR,42971,INM00042971,BHUBANESHWAR,20.25,85.8333,45.0,true
BHUJ,42634,INM00042634,BHUJ-RUDRAMATA,23.25,69.8,118.0,true
CHENNAI,43279,INM00043279,MADRAS/MINAMBAKKAM,13.0,80.1833,10.0,true
CHIKALTHANA,43014,INM00043014,AURANGABAD AIRPORT,19.85,75.4,582.0,true
DEHRADUN,42111,INM00042111,DEHRADUN,30.2833,78.0833,644.0,true
DELHI,42182,INM00042182,NEW DELHI/SAFDARJUNG,28.5833,77.2,211.0,true
DIMAPUR,,,,,,,true
GADAG,43201,INM00043201,GADAG,15.4167,75.6333,668.8,true
GANGTOK,42299,INM00042299,GANGTOK,27.3333,88.6167,1756.0,true
GOA,43192,INM00043192,GOA/PANJIM,15.4833,73.8167,59.0,true
GOPALPUR,43049,INM00043049,GOPALPUR,19.2667,84.8833,16.4,true
GORAKHPUR,42379,INM00042379,GORAKHPUR,26.75,83.3667,78.3,true
GUWAHATI,42410,INM00042410,GUWAHATI,26.1,91.5833,54.0,true
GWALIOR,42361,INM00042361,GWALIOR,26.2333,78.25,205.0,true
HYDERABAD,43128,INM00043128,HYDERABAD AIRPORT,17.45,78.4667,530.0,true
IMPHAL,42623,INM00042623,IMPHAL/TULIHAL,24.7667,93.9,781.0,true
JABALPUR,42675,INM00042675,JABALPUR,23.2,79.95,397.0,true
JAGDALPUR,43041,INM00043041,JAGDALPUR,19.0833,82.0333,554.0,true
JAIPUR,42348,INM00042348,JAIPUR / SANGANER,26.8167,75.8,383.0,true
JALPAIGURI,42399,INM00042399,JALPAIGURI,26.5333,88.7167,83.0,true
JAMMU,42056,INM00042056,JAMMU,32.6667,74.8333,415.0,true
JHARSIGUDA,42886,INM00042886,JHARSIGUDA,21.9167,84.0833,228.0,true
JODHPUR,42339,INM00042339,JODHPUR,26.3,73.0167,217.0,true
KARAIKAL,43346,INM00043346,KARAIKAL,10.9167,79.8333,6.9,true
KAVALI,43243,UVM00043243,KAVALI,,,,true
KOCHI,43353,INM00043353,COCHIN/WILLINGDON,9.95,76.2667,1.0,true
KOLKATA,42809,INM00042809,KOLKATA/DUM DUM,22.65,88.45,6.0,true
LENGPUI,42726,INM00042726,LENGPUI,23.8333,92.6167,429.0,true
LUCKNOW,42369,INM00042369,LUCKNOW/AMAUSI,26.75,80.8833,122.0,true
MACHILIPATNAM,43185,INM00043185,MACHILIPATNAM/FRANCHPET,16.2,81.15,3.0,true
MAITRI,,,,,,,true
MANGALORE,43285,INM00043285,MANGALORE/PANAMBUR,12.95,74.8333,30.8,true
MINICOY,43369,INM00043369,MINICOY,8.2813,73.0581,1.8,true
MOHANBARI,42314,INM00042314,DIBRUGARH /MOHANBARI,27.4833,95.0167,112.0,true
MUMBAI,43003,INM00043003,BOMBAY / SANTACRUZ,19.1167,72.85,14.2,true
NAGPUR,42867,INM00042867,NAGPUR SONEGAON,21.1,79.05,310.0,true
PASSIGHAT,42220,INM00042220,PASIGHAT,28.1,95.3833,157.0,true
PATIALA,42101,INM00042101,PATIALA,30.3333,76.4667,251.0,true
PATNA,42492,INM00042492,PATNA,25.6,85.1667,51.0,true
PORTBLAIR,43333,INM00043333,PORT BLAIR,11.6667,92.7167,79.0,true
PUNE,43063,INM00043063,PUNE,18.5333,73.85,555.0,true
RAIPUR,42874,INM00042874,PBO RAIPUR,21.2333,81.65,296.0,true
RAMAGUNDAM,43086,INM00043086,RAMGUNDAM,18.7667,79.4333,156.0,true
RANCHI,42701,INM00042701,M.O. RANCHI,23.3167,85.3167,647.0,true
RATNAGIRI,43110,INM00043110,RATNAGIRI,16.9833,73.3333,91.0,true
SHILLONG,42516,INM00042516,SHILLONG,25.5667,91.8833,1598.0,true
SRIGANGANAGAR,42123,INM00042123,GANGANAGAR,29.9167,73.8833,173.0,true
SRINAGAR,42027,INM00042027,SRINAGAR (42027-0),34.0833,74.8333,1585.0,true
SUNDERNAGAR,42079,INM00042079,SUNDERNAGAR,31.5333,76.9,874.0,true
THIRUVANANTHAPURAM,43371,INM00043371,THIRUVANANTHAPURAM (43371-0),8.4833,76.95,59.7,true
VISAKHAPATNAM,43150,INM00043150,VISHAKHAPATNAM/WALTAIR,17.6833,83.3,-999.9,true
